,ZEEL.NS,PVRINOX.NS,SUNTV.NS,TV18BRDCST.NS,NAZARA.NS,DISHTV.NS,NETWORK18.NS,NAVNETEDUL.NS,HATHWAY.NS,NDTV.NS
2021-01-12,226.14999389648438,,527.6500244140625,33.0,,12.899999618530273,39.25,84.0999984741211,34.54999923706055,39.400001525878906
2021-01-13,227.89999389648438,,534.9500122070312,32.150001525878906,,12.899999618530273,37.400001525878906,85.5,34.04999923706055,39.04999923706055
2021-01-14,229.35000610351562,,532.2999877929688,32.0,,12.800000190734863,37.20000076293945,87.19999694824219,34.150001525878906,38.900001525878906
2021-01-15,224.89999389648438,,518.2000122070312,31.200000762939453,,12.699999809265137,36.54999923706055,87.5999984741211,34.45000076293945,38.599998474121094
2021-01-18,218.0,,502.04998779296875,30.649999618530273,,12.5,36.5,84.55000305175781,32.04999923706055,37.849998474121094
2021-01-19,225.0500030517578,,517.2000122070312,31.649999618530273,,12.699999809265137,38.349998474121094,85.0,32.45000076293945,38.20000076293945
2021-01-20,228.60000610351562,,525.2999877929688,31.149999618530273,,12.649999618530273,38.599998474121094,84.80000305175781,32.349998474121094,38.79999923706055
2021-01-21,225.0500030517578,,503.70001220703125,30.399999618530273,,12.449999809265137,37.25,82.80000305175781,31.799999237060547,38.599998474121094
2021-01-22,219.3000030517578,,507.8500061035156,29.299999237060547,,12.149999618530273,37.0,81.55000305175781,31.200000762939453,38.20000076293945
2021-01-25,223.6999969482422,,491.54998779296875,29.100000381469727,,12.550000190734863,37.0,80.0999984741211,30.350000381469727,37.400001525878906
2021-01-27,221.10000610351562,,487.6499938964844,29.0,,12.199999809265137,36.25,81.8499984741211,29.899999618530273,37.20000076293945
2021-01-28,220.14999389648438,,492.95001220703125,28.399999618530273,,12.25,36.5,84.5999984741211,30.0,37.75
2021-01-29,220.0,,477.75,28.0,,12.25,36.25,81.5,30.25,37.849998474121094
2021-02-01,227.1999969482422,,502.95001220703125,28.0,,12.199999809265137,36.54999923706055,83.3499984741211,30.600000381469727,37.400001525878906
2021-02-02,242.89999389648438,,520.5999755859375,28.399999618530273,,12.449999809265137,37.0,83.05000305175781,30.600000381469727,39.25
2021-02-03,244.1999969482422,,515.9000244140625,28.899999618530273,,12.449999809265137,37.099998474121094,82.6500015258789,30.299999237060547,39.849998474121094
2021-02-04,249.4499969482422,,548.5499877929688,30.649999618530273,,12.399999618530273,37.5,82.3499984741211,30.600000381469727,40.54999923706055
2021-02-05,215.3000030517578,,553.2999877929688,30.049999237060547,,12.199999809265137,36.900001525878906,82.25,30.399999618530273,40.25
2021-02-08,219.75,,551.4500122070312,30.600000381469727,,12.050000190734863,37.0,82.30000305175781,29.950000762939453,39.95000076293945
2021-02-09,215.75,,528.2000122070312,29.850000381469727,,11.899999618530273,36.25,82.05000305175781,29.600000381469727,39.95000076293945
2021-02-10,217.25,,526.0,29.700000762939453,,12.0,36.45000076293945,80.8499984741211,29.950000762939453,43.900001525878906
2021-02-11,215.10000610351562,,516.7999877929688,29.950000762939453,,12.0,37.04999923706055,82.0999984741211,30.5,48.25
2021-02-12,212.5,,511.8500061035156,30.0,,11.550000190734863,36.599998474121094,82.69999694824219,30.399999618530273,53.04999923706055
2021-02-15,211.6999969482422,,518.9500122070312,29.950000762939453,,11.5,36.20000076293945,83.69999694824219,30.299999237060547,55.70000076293945
2021-02-16,206.10000610351562,,516.2999877929688,29.799999237060547,,11.5,36.70000076293945,84.25,30.049999237060547,53.54999923706055
2021-02-17,214.9499969482422,,525.25,29.850000381469727,,11.899999618530273,36.54999923706055,83.69999694824219,30.0,53.0
2021-02-18,211.75,,515.4000244140625,29.799999237060547,,12.149999618530273,37.04999923706055,87.30000305175781,30.200000762939453,50.54999923706055
2021-02-19,208.5500030517578,,504.1000061035156,30.0,,11.850000381469727,37.04999923706055,86.5,30.049999237060547,50.25
2021-02-22,201.8000030517578,,494.95001220703125,28.950000762939453,,11.350000381469727,36.400001525878906,85.19999694824219,29.700000762939453,47.79999923706055
2021-02-23,201.9499969482422,,498.25,29.100000381469727,,11.350000381469727,36.400001525878906,84.69999694824219,29.600000381469727,48.04999923706055
2021-02-24,205.60000610351562,,497.8500061035156,29.350000381469727,,11.600000381469727,36.79999923706055,86.69999694824219,29.700000762939453,48.29999923706055
2021-02-25,208.60000610351562,,511.5,29.700000762939453,,11.550000190734863,37.349998474121094,89.5,30.049999237060547,48.79999923706055
2021-02-26,201.0,,493.20001220703125,29.049999237060547,,11.300000190734863,37.5,86.75,29.75,47.79999923706055
2021-03-01,216.85000610351562,,504.8999938964844,32.5,,11.399999618530273,42.70000076293945,89.44999694824219,31.0,50.0
2021-03-02,220.14999389648438,,513.2999877929688,32.150001525878906,,11.399999618530273,41.54999923706055,87.94999694824219,30.850000381469727,51.599998474121094
2021-03-03,222.0,,506.3999938964844,32.599998474121094,,11.449999809265137,41.650001525878906,87.0,30.799999237060547,54.150001525878906
2021-03-04,225.75,,511.29998779296875,31.700000762939453,,11.699999809265137,41.150001525878906,87.05000305175781,30.899999618530273,55.0
2021-03-05,218.0500030517578,,506.1000061035156,34.0,,11.5,41.650001525878906,85.5999984741211,30.850000381469727,53.400001525878906
2021-03-08,224.8000030517578,,502.0,35.20000076293945,,11.449999809265137,41.70000076293945,85.94999694824219,31.049999237060547,53.25
2021-03-09,220.35000610351562,,491.04998779296875,35.04999923706055,,11.300000190734863,44.599998474121094,84.75,33.599998474121094,55.900001525878906
2021-03-10,221.64999389648438,,489.0,34.79999923706055,,11.25,44.599998474121094,85.3499984741211,32.400001525878906,55.20000076293945
2021-03-12,218.8000030517578,,486.25,35.150001525878906,,11.149999618530273,43.5,87.55000305175781,31.75,53.5
2021-03-15,213.25,,482.29998779296875,34.349998474121094,,10.949999809265137,44.900001525878906,85.1500015258789,31.299999237060547,55.54999923706055
2021-03-16,210.85000610351562,,477.25,33.79999923706055,,10.800000190734863,44.0,92.05000305175781,31.100000381469727,58.29999923706055
2021-03-17,203.35000610351562,,456.70001220703125,31.649999618530273,,10.399999618530273,41.650001525878906,86.4000015258789,30.75,61.20000076293945
