,RELIANCE.NS,ONGC.NS,BPCL.NS,IOC.NS,GAIL.NS,ATGL.NS,HINDPETRO.NS,PETRONET.NS,IGL.NS
2020-12-16,1976.550048828125,102.9000015258789,399.6000061035156,64.23332977294922,82.93333435058594,358.8500061035156,230.60000610351562,264.1000061035156,487.54998779296875
2020-12-17,1985.5999755859375,101.5,395.3999938964844,63.599998474121094,82.5999984741211,362.20001220703125,225.9499969482422,259.3500061035156,479.79998779296875
2020-12-18,1991.550048828125,99.0,393.8500061035156,62.633331298828125,83.36666870117188,361.8500061035156,224.39999389648438,257.70001220703125,478.0
2020-12-21,1939.699951171875,89.8499984741211,367.3500061035156,58.06666564941406,76.46666717529297,336.1499938964844,209.35000610351562,243.8000030517578,464.3500061035156
2020-12-22,1936.699951171875,90.55000305175781,372.5,58.633331298828125,79.0,358.54998779296875,210.85000610351562,247.89999389648438,492.79998779296875
2020-12-23,1943.8499755859375,90.80000305175781,374.3999938964844,58.766666412353516,78.83333587646484,369.8500061035156,210.3000030517578,248.89999389648438,488.6499938964844
2020-12-24,1994.1500244140625,93.1500015258789,377.54998779296875,60.166664123535156,80.0999984741211,368.54998779296875,213.64999389648438,246.10000610351562,489.1499938964844
2020-12-28,2003.300048828125,93.80000305175781,382.75,61.133331298828125,81.76666259765625,368.8999938964844,215.1999969482422,251.14999389648438,490.04998779296875
2020-12-29,1990.050048828125,93.1500015258789,381.5,60.79999923706055,82.5,374.6000061035156,215.39999389648438,247.0,511.1000061035156
2020-12-30,1995.5,93.25,382.8500061035156,60.599998474121094,82.06666564941406,380.3999938964844,216.4499969482422,246.5,505.54998779296875
2020-12-31,1985.300048828125,93.05000305175781,381.1000061035156,60.633331298828125,82.16666412353516,375.6000061035156,217.89999389648438,247.60000610351562,502.3500061035156
2021-01-01,1987.5,93.19999694824219,381.95001220703125,61.0,82.43333435058594,376.79998779296875,221.25,249.85000610351562,507.1499938964844
2021-01-04,1990.8499755859375,96.94999694824219,395.3500061035156,62.56666564941406,85.33333587646484,375.6000061035156,222.75,252.4499969482422,506.70001220703125
2021-01-05,1966.0999755859375,94.94999694824219,392.0,62.0,86.19999694824219,373.6499938964844,223.10000610351562,256.3999938964844,519.0499877929688
2021-01-06,1914.25,96.94999694824219,387.29998779296875,62.733333587646484,89.33333587646484,369.3999938964844,220.9499969482422,256.1000061035156,542.4000244140625
2021-01-07,1911.1500244140625,97.9000015258789,392.20001220703125,63.0,88.96666717529297,368.20001220703125,222.8000030517578,259.75,540.0
2021-01-08,1933.699951171875,100.6500015258789,400.1499938964844,64.0999984741211,88.5,369.3500061035156,225.5,268.3999938964844,550.7000122070312
2021-01-11,1897.25,102.55000305175781,401.75,64.0,90.46666717529297,365.25,224.35000610351562,269.8500061035156,557.5
2021-01-12,1957.050048828125,103.44999694824219,402.54998779296875,65.30000305175781,94.26666259765625,365.8999938964844,224.89999389648438,270.54998779296875,567.2000122070312
2021-01-13,1938.800048828125,105.25,411.8999938964844,67.30000305175781,94.16666412353516,363.79998779296875,227.14999389648438,265.5,565.5999755859375
2021-01-14,1960.5999755859375,105.05000305175781,426.70001220703125,68.80000305175781,96.0,361.1000061035156,233.60000610351562,265.04998779296875,567.9500122070312
2021-01-15,1937.449951171875,101.4000015258789,414.6000061035156,67.53333282470703,92.33333587646484,359.95001220703125,228.60000610351562,259.70001220703125,547.9000244140625
2021-01-18,1983.949951171875,96.6500015258789,409.54998779296875,65.53333282470703,91.93333435058594,352.25,231.25,243.25,535.2000122070312
2021-01-19,2016.4000244140625,98.0999984741211,413.45001220703125,65.69999694824219,93.0999984741211,358.70001220703125,231.89999389648438,249.35000610351562,557.5499877929688
2021-01-20,2054.699951171875,98.8499984741211,413.8500061035156,65.53333282470703,92.0,362.3999938964844,231.0500030517578,249.5,561.2999877929688
2021-01-21,2099.39990234375,94.69999694824219,408.29998779296875,64.46666717529297,89.16666412353516,356.75,228.8000030517578,245.85000610351562,532.9000244140625
2021-01-22,2049.60009765625,92.75,396.04998779296875,63.79999923706055,89.36666870117188,363.6000061035156,225.39999389648438,241.39999389648438,534.25
2021-01-25,1941.0,91.3499984741211,387.29998779296875,62.29999923706055,88.63333129882812,377.6499938964844,220.1999969482422,241.89999389648438,536.4500122070312
2021-01-27,1895.0,89.69999694824219,380.6000061035156,60.93333435058594,85.13333129882812,380.1000061035156,216.64999389648438,237.8000030517578,533.6500244140625
2021-01-28,1876.550048828125,90.6500015258789,384.29998779296875,61.733333587646484,85.73332977294922,379.29998779296875,221.5,242.4499969482422,533.0
2021-01-29,1841.949951171875,88.30000305175781,383.6000061035156,62.166664123535156,83.53333282470703,381.04998779296875,218.60000610351562,237.0,515.7999877929688
2021-02-01,1895.300048828125,90.8499984741211,393.0,63.86666488647461,84.93333435058594,389.1000061035156,217.9499969482422,240.64999389648438,534.4500122070312
