,DLF.NS,GODREJPROP.NS,PHOENIXLTD.NS,LODHA.NS,OBEROIRLTY.NS,PRESTIGE.NS,BRIGADE.NS,MAHLIFE.NS,IBREALEST.NS,SOBHA.NS
2020-02-20,220.10000610351562,1112.199951171875,855.4500122070312,,517.9500122070312,365.25,240.85000610351562,131.98333740234375,89.0999984741211,338.1000061035156
2020-02-24,212.5,1103.0999755859375,865.9500122070312,,518.1500244140625,350.70001220703125,228.5500030517578,129.9499969482422,85.4000015258789,323.0
2020-02-25,216.75,1099.949951171875,933.8499755859375,,520.0499877929688,340.5,231.8000030517578,127.58333587646484,82.1500015258789,323.04998779296875
2020-02-26,212.4499969482422,1082.0999755859375,919.3499755859375,,513.4000244140625,333.6000061035156,236.14999389648438,124.61666870117188,79.8499984741211,315.6499938964844
2020-02-27,208.6999969482422,1039.75,884.4000244140625,,514.7000122070312,316.54998779296875,233.3000030517578,122.31666564941406,79.1500015258789,309.04998779296875
2020-02-28,201.6999969482422,1003.0499877929688,856.4500122070312,,509.95001220703125,290.3500061035156,231.5500030517578,118.80000305175781,75.19999694824219,297.0
2020-03-02,203.85000610351562,1013.9500122070312,808.7999877929688,,516.0,302.6499938964844,217.39999389648438,117.16666412353516,71.44999694824219,299.8500061035156
2020-03-03,206.8000030517578,1000.0499877929688,834.9000244140625,,516.5999755859375,318.8500061035156,223.14999389648438,117.5,74.4000015258789,319.29998779296875
2020-03-04,203.9499969482422,984.0999755859375,864.25,,505.8999938964844,307.0,221.6999969482422,113.43333435058594,74.8499984741211,316.3999938964844
2020-03-05,202.60000610351562,954.0499877929688,851.2999877929688,,496.1000061035156,318.25,220.9499969482422,111.78333282470703,73.19999694824219,315.95001220703125
2020-03-06,194.4499969482422,915.4000244140625,837.2999877929688,,499.70001220703125,302.5,218.64999389648438,109.83333587646484,69.55000305175781,296.70001220703125
2020-03-09,182.35000610351562,916.0999755859375,811.9000244140625,,492.95001220703125,299.04998779296875,208.35000610351562,108.3499984741211,66.0999984741211,262.1499938964844
2020-03-11,178.4499969482422,909.5499877929688,821.9500122070312,,485.1000061035156,281.8500061035156,208.25,107.21666717529297,62.79999923706055,235.8000030517578
2020-03-12,156.89999389648438,814.3499755859375,764.5499877929688,,452.8999938964844,225.5,191.0500030517578,102.68333435058594,59.70000076293945,241.39999389648438
2020-03-13,166.75,822.75,751.3499755859375,,456.3999938964844,252.89999389648438,188.8000030517578,102.91666412353516,56.75,219.0500030517578
2020-03-16,149.0,767.2000122070312,666.1500244140625,,443.8500061035156,209.5500030517578,181.10000610351562,94.08333587646484,53.95000076293945,209.4499969482422
2020-03-17,144.60000610351562,756.9000244140625,647.6500244140625,,437.8500061035156,210.25,174.64999389648438,89.81666564941406,51.29999923706055,197.8000030517578
2020-03-18,140.14999389648438,707.75,555.2999877929688,,435.0,170.10000610351562,168.10000610351562,84.06666564941406,48.75,187.35000610351562
2020-03-19,128.4499969482422,654.9500122070312,647.25,,445.20001220703125,159.35000610351562,159.9499969482422,77.03333282470703,46.349998474121094,178.1999969482422
2020-03-20,139.8000030517578,699.9500122070312,648.0,,430.8500061035156,157.64999389648438,156.6999969482422,80.38333129882812,45.04999923706055,180.39999389648438
2020-03-23,126.1500015258789,560.0,584.7000122070312,,407.1000061035156,161.39999389648438,124.5999984741211,70.13333129882812,42.79999923706055,150.3000030517578
2020-03-24,120.80000305175781,571.0999755859375,545.25,,409.8999938964844,167.89999389648438,119.6500015258789,66.5,40.70000076293945,142.14999389648438
2020-03-25,123.80000305175781,645.0499877929688,541.0999755859375,,400.6499938964844,172.4499969482422,113.25,64.80000305175781,38.70000076293945,140.89999389648438
